inst_rainfall_mm,DateTime,Site
0.2,2020-06-19T14:15:00Z,VAUL
0.4,2020-06-19T14:30:00Z,VAUL
1.6,2020-06-20T15:15:00Z,VAUL
1.8,2020-06-20T15:30:00Z,VAUL
0.8,2020-06-20T15:45:00Z,VAUL
0.2,2020-06-20T16:00:00Z,VAUL
0.2,2020-06-20T16:15:00Z,VAUL
0.2,2020-06-20T16:30:00Z,VAUL
0.6000000000000001,2020-06-20T16:45:00Z,VAUL
0.2,2020-06-20T17:00:00Z,VAUL
0.2,2020-06-20T21:30:00Z,VAUL
0.2,2020-06-20T22:00:00Z,VAUL
0.2,2020-06-20T22:15:00Z,VAUL
0.2,2020-06-20T22:30:00Z,VAUL
0.2,2020-06-20T22:45:00Z,VAUL
0.2,2020-06-20T23:00:00Z,VAUL
0.4,2020-06-20T23:15:00Z,VAUL
0.2,2020-06-20T23:30:00Z,VAUL
0.2,2020-06-20T23:45:00Z,VAUL
1,2020-06-21T00:15:00Z,VAUL
1,2020-06-21T00:30:00Z,VAUL
2,2020-06-21T00:45:00Z,VAUL
2.2,2020-06-21T01:00:00Z,VAUL
0.2,2020-06-21T01:15:00Z,VAUL
0.2,2020-06-21T02:15:00Z,VAUL
0.2,2020-06-21T03:45:00Z,VAUL
0.2,2020-06-21T04:00:00Z,VAUL
0.4,2020-06-21T04:30:00Z,VAUL
0.2,2020-06-21T04:45:00Z,VAUL
0.8,2020-06-21T05:00:00Z,VAUL
1.2000000000000002,2020-06-21T05:15:00Z,VAUL
1.6,2020-06-21T05:30:00Z,VAUL
1.2000000000000002,2020-06-21T05:45:00Z,VAUL
0.2,2020-06-21T06:00:00Z,VAUL
0.2,2020-06-21T06:15:00Z,VAUL
0.6000000000000001,2020-06-21T06:45:00Z,VAUL
1.6,2020-06-21T07:00:00Z,VAUL
1.8,2020-06-21T07:15:00Z,VAUL
1,2020-06-21T07:30:00Z,VAUL
0.6000000000000001,2020-06-21T07:45:00Z,VAUL
0.4,2020-06-21T08:00:00Z,VAUL
0.6000000000000001,2020-06-21T08:15:00Z,VAUL
0.6000000000000001,2020-06-21T08:30:00Z,VAUL
0.8,2020-06-21T08:45:00Z,VAUL
1.2000000000000002,2020-06-21T09:00:00Z,VAUL
0.2,2020-06-21T09:15:00Z,VAUL
0.4,2020-06-21T09:30:00Z,VAUL
1.2000000000000002,2020-06-21T09:45:00Z,VAUL
1.4000000000000001,2020-06-21T10:00:00Z,VAUL
0.4,2020-06-21T10:15:00Z,VAUL
0.2,2020-06-21T10:30:00Z,VAUL
0.2,2020-06-21T10:45:00Z,VAUL
0.2,2020-06-21T11:15:00Z,VAUL
0.2,2020-06-21T11:45:00Z,VAUL
0.2,2020-06-21T12:00:00Z,VAUL
0.4,2020-06-21T12:30:00Z,VAUL
0.4,2020-06-21T12:45:00Z,VAUL
0.2,2020-06-21T13:00:00Z,VAUL
0.2,2020-06-21T13:15:00Z,VAUL
0.4,2020-06-21T13:30:00Z,VAUL
0.2,2020-06-21T14:45:00Z,VAUL
0.2,2020-06-21T15:45:00Z,VAUL
0.2,2020-06-21T16:15:00Z,VAUL
0.2,2020-06-21T16:45:00Z,VAUL
0.2,2020-06-21T19:00:00Z,VAUL
0.2,2020-06-21T19:15:00Z,VAUL
0.4,2020-06-21T19:30:00Z,VAUL
0.2,2020-06-21T20:00:00Z,VAUL
0.2,2020-06-21T21:00:00Z,VAUL
0.4,2020-06-21T21:15:00Z,VAUL
0.4,2020-06-21T21:30:00Z,VAUL
0.4,2020-06-21T21:45:00Z,VAUL
0.2,2020-06-21T22:45:00Z,VAUL
0.2,2020-06-21T23:15:00Z,VAUL
0.2,2020-06-21T23:30:00Z,VAUL
0.4,2020-06-21T23:45:00Z,VAUL
0.2,2020-06-22T00:00:00Z,VAUL
0.4,2020-06-22T00:15:00Z,VAUL
0.6000000000000001,2020-06-22T00:30:00Z,VAUL
0.2,2020-06-22T00:45:00Z,VAUL
0.2,2020-06-22T01:00:00Z,VAUL
0.2,2020-06-22T01:15:00Z,VAUL
0.2,2020-06-22T01:30:00Z,VAUL
0.6000000000000001,2020-06-22T01:45:00Z,VAUL
0.4,2020-06-22T02:00:00Z,VAUL
0.6000000000000001,2020-06-22T02:15:00Z,VAUL
0.4,2020-06-22T02:30:00Z,VAUL
1,2020-06-22T02:45:00Z,VAUL
0.4,2020-06-22T03:00:00Z,VAUL
0.2,2020-06-22T03:15:00Z,VAUL
0.4,2020-06-22T03:30:00Z,VAUL
0.4,2020-06-22T03:45:00Z,VAUL
0.4,2020-06-22T04:00:00Z,VAUL
0.4,2020-06-22T04:15:00Z,VAUL
0.2,2020-06-22T04:30:00Z,VAUL
0.2,2020-06-22T04:45:00Z,VAUL
0.2,2020-06-22T05:00:00Z,VAUL
0.4,2020-06-22T06:00:00Z,VAUL
0.4,2020-06-22T06:30:00Z,VAUL
0.2,2020-06-22T07:15:00Z,VAUL
0.2,2020-06-22T07:30:00Z,VAUL
0.4,2020-06-22T07:45:00Z,VAUL
0.8,2020-06-22T08:00:00Z,VAUL
0.6000000000000001,2020-06-22T08:15:00Z,VAUL
0.2,2020-06-22T08:30:00Z,VAUL
0.2,2020-06-22T09:00:00Z,VAUL
0.2,2020-06-22T09:30:00Z,VAUL
0.2,2020-06-22T09:45:00Z,VAUL
0.2,2020-06-22T10:00:00Z,VAUL
0.4,2020-06-22T10:15:00Z,VAUL
0.2,2020-06-22T10:30:00Z,VAUL
0.2,2020-06-22T10:45:00Z,VAUL
0.2,2020-06-22T11:00:00Z,VAUL
0.2,2020-06-22T11:15:00Z,VAUL
0.2,2020-06-22T11:30:00Z,VAUL
0.2,2020-06-22T11:45:00Z,VAUL
0.2,2020-06-22T12:00:00Z,VAUL
0.2,2020-06-22T12:15:00Z,VAUL
0.4,2020-06-22T12:30:00Z,VAUL
0.4,2020-06-22T12:45:00Z,VAUL
0.4,2020-06-22T13:00:00Z,VAUL
0.4,2020-06-22T13:15:00Z,VAUL
0.2,2020-06-22T13:30:00Z,VAUL
0.2,2020-06-22T13:45:00Z,VAUL
0.4,2020-06-22T14:00:00Z,VAUL
0.4,2020-06-22T14:15:00Z,VAUL
0.4,2020-06-22T14:30:00Z,VAUL
0.2,2020-06-22T14:45:00Z,VAUL
0.4,2020-06-22T15:00:00Z,VAUL
0.2,2020-06-22T15:15:00Z,VAUL
0.4,2020-06-22T15:30:00Z,VAUL
0.4,2020-06-22T15:45:00Z,VAUL
0.2,2020-06-22T16:00:00Z,VAUL
0.2,2020-06-22T16:30:00Z,VAUL
0.2,2020-06-22T16:45:00Z,VAUL
0.2,2020-06-22T17:00:00Z,VAUL
0.2,2020-06-22T17:15:00Z,VAUL
0.6000000000000001,2020-06-22T17:30:00Z,VAUL
0.4,2020-06-22T17:45:00Z,VAUL
1,2020-06-22T18:00:00Z,VAUL
1.8,2020-06-22T18:15:00Z,VAUL
0.4,2020-06-22T18:30:00Z,VAUL
1,2020-06-22T18:45:00Z,VAUL
1,2020-06-22T19:00:00Z,VAUL
0.2,2020-06-22T19:15:00Z,VAUL
0.2,2020-06-22T19:30:00Z,VAUL
0.4,2020-06-22T19:45:00Z,VAUL
0.2,2020-06-22T20:00:00Z,VAUL
0.4,2020-06-22T20:15:00Z,VAUL
0.4,2020-06-22T20:30:00Z,VAUL
0.4,2020-06-22T20:45:00Z,VAUL
0.2,2020-06-22T21:00:00Z,VAUL
0.6000000000000001,2020-06-22T21:15:00Z,VAUL
0.2,2020-06-22T21:45:00Z,VAUL
0.2,2020-06-22T22:15:00Z,VAUL
0.2,2020-06-22T22:45:00Z,VAUL
0.2,2020-06-22T23:00:00Z,VAUL
0.2,2020-06-22T23:15:00Z,VAUL
0.2,2020-06-22T23:45:00Z,VAUL
0.2,2020-06-23T00:15:00Z,VAUL
0.2,2020-06-23T00:30:00Z,VAUL
0.2,2020-06-23T00:45:00Z,VAUL
0.2,2020-06-23T01:00:00Z,VAUL
0.2,2020-06-23T01:15:00Z,VAUL
0.2,2020-06-23T01:30:00Z,VAUL
0.2,2020-06-23T01:45:00Z,VAUL
0.2,2020-06-23T02:00:00Z,VAUL
0.2,2020-06-23T02:15:00Z,VAUL
0.2,2020-06-23T02:45:00Z,VAUL
0.4,2020-06-23T03:15:00Z,VAUL
0.2,2020-06-23T03:45:00Z,VAUL
0.2,2020-06-23T04:30:00Z,VAUL
0.2,2020-06-23T06:45:00Z,VAUL
0.6000000000000001,2020-06-23T07:15:00Z,VAUL
0.6000000000000001,2020-06-23T07:30:00Z,VAUL
0.2,2020-06-23T08:00:00Z,VAUL
0.4,2020-06-23T08:15:00Z,VAUL
0.2,2020-06-23T08:30:00Z,VAUL
0.2,2020-06-23T09:00:00Z,VAUL
0.4,2020-06-23T09:30:00Z,VAUL
0.2,2020-06-23T09:45:00Z,VAUL
0.2,2020-06-23T10:00:00Z,VAUL
0.2,2020-06-23T10:15:00Z,VAUL
0.2,2020-06-23T10:30:00Z,VAUL
0.4,2020-06-23T10:45:00Z,VAUL
0.2,2020-06-23T11:00:00Z,VAUL
0.2,2020-06-23T11:15:00Z,VAUL
0.4,2020-06-23T11:45:00Z,VAUL
0.8,2020-06-23T12:00:00Z,VAUL
0.2,2020-06-23T12:15:00Z,VAUL
0.2,2020-06-23T15:30:00Z,VAUL
0.2,2020-06-23T15:45:00Z,VAUL
0.2,2020-06-23T16:00:00Z,VAUL
0.2,2020-06-23T16:15:00Z,VAUL
0.2,2020-06-23T18:15:00Z,VAUL
0.2,2020-06-23T19:15:00Z,VAUL
0.2,2020-06-23T20:30:00Z,VAUL
0.2,2020-06-23T22:30:00Z,VAUL
0.2,2020-06-24T00:15:00Z,VAUL
0.2,2020-06-24T00:30:00Z,VAUL
0.2,2020-06-28T14:00:00Z,VAUL
0.2,2020-06-28T14:30:00Z,VAUL
0.4,2020-06-28T14:45:00Z,VAUL
0.2,2020-06-28T15:00:00Z,VAUL
3.2,2020-06-28T15:15:00Z,VAUL
1.2000000000000002,2020-06-28T15:30:00Z,VAUL
1.4000000000000001,2020-06-28T21:00:00Z,VAUL
0.8,2020-06-28T21:15:00Z,VAUL
0.2,2020-06-28T21:30:00Z,VAUL
0.2,2020-06-29T00:15:00Z,VAUL
0.2,2020-06-29T02:45:00Z,VAUL
0.2,2020-06-29T03:15:00Z,VAUL
0.6000000000000001,2020-06-29T16:00:00Z,VAUL
0.8,2020-06-29T16:15:00Z,VAUL
0.2,2020-06-29T16:45:00Z,VAUL
1.2000000000000002,2020-06-29T18:00:00Z,VAUL
0.2,2020-06-29T18:15:00Z,VAUL
0.2,2020-06-29T18:45:00Z,VAUL
0.2,2020-06-29T19:00:00Z,VAUL
0.2,2020-06-29T19:15:00Z,VAUL
0.2,2020-06-30T14:45:00Z,VAUL
0.4,2020-06-30T15:15:00Z,VAUL
0.2,2020-06-30T15:45:00Z,VAUL
0.2,2020-06-30T20:45:00Z,VAUL
1.2000000000000002,2020-07-06T17:15:00Z,VAUL
0.2,2020-07-06T17:30:00Z,VAUL
0.2,2020-07-07T18:15:00Z,VAUL
0.6000000000000001,2020-07-07T18:30:00Z,VAUL
2.8000000000000003,2020-07-07T18:45:00Z,VAUL
2,2020-07-07T19:00:00Z,VAUL
17.2,2020-07-07T21:30:00Z,VAUL
12.600000000000001,2020-07-07T21:45:00Z,VAUL
3,2020-07-07T22:00:00Z,VAUL
4.4,2020-07-07T22:15:00Z,VAUL
6.6000000000000005,2020-07-07T23:15:00Z,VAUL
1.2000000000000002,2020-07-07T23:30:00Z,VAUL
0.8,2020-07-09T10:15:00Z,VAUL
0.6000000000000001,2020-07-09T10:30:00Z,VAUL
0.2,2020-07-09T12:00:00Z,VAUL
0.2,2020-07-09T12:45:00Z,VAUL
0.2,2020-07-09T13:15:00Z,VAUL
0.6000000000000001,2020-07-09T13:30:00Z,VAUL
0.2,2020-07-09T15:00:00Z,VAUL
0.2,2020-07-09T20:00:00Z,VAUL
3.8000000000000003,2020-07-09T20:30:00Z,VAUL
1.2000000000000002,2020-07-09T20:45:00Z,VAUL
0.2,2020-07-09T21:00:00Z,VAUL
0.2,2020-07-09T21:15:00Z,VAUL
0.4,2020-07-09T21:30:00Z,VAUL
0.4,2020-07-09T22:00:00Z,VAUL
0.4,2020-07-09T22:15:00Z,VAUL
0.2,2020-07-09T22:30:00Z,VAUL
0.2,2020-07-09T23:15:00Z,VAUL
0.2,2020-07-09T23:45:00Z,VAUL
0.2,2020-07-10T00:15:00Z,VAUL
0.2,2020-07-10T01:30:00Z,VAUL
0.2,2020-07-10T05:00:00Z,VAUL
0.2,2020-07-13T03:30:00Z,VAUL
0.2,2020-07-13T06:00:00Z,VAUL
0.2,2020-07-13T07:45:00Z,VAUL
0.2,2020-07-13T08:30:00Z,VAUL
0.2,2020-07-13T09:15:00Z,VAUL
0.2,2020-07-13T21:15:00Z,VAUL
0.2,2020-07-13T21:30:00Z,VAUL
0.2,2020-07-13T21:45:00Z,VAUL
0.4,2020-07-13T22:00:00Z,VAUL
0.2,2020-07-13T23:15:00Z,VAUL
0.2,2020-07-14T08:45:00Z,VAUL
0.4,2020-07-14T16:15:00Z,VAUL
1.8,2020-07-14T16:30:00Z,VAUL
0.4,2020-07-14T16:45:00Z,VAUL
1.2000000000000002,2020-07-15T17:45:00Z,VAUL
0.4,2020-07-15T18:00:00Z,VAUL
0.8,2020-07-15T18:15:00Z,VAUL
0.6000000000000001,2020-07-15T18:30:00Z,VAUL
0.2,2020-07-16T05:45:00Z,VAUL
0.2,2020-07-16T07:00:00Z,VAUL
0.2,2020-07-16T07:45:00Z,VAUL
0.2,2020-07-16T08:30:00Z,VAUL
0.4,2020-07-16T08:45:00Z,VAUL
0.6000000000000001,2020-07-16T09:00:00Z,VAUL
0.4,2020-07-16T09:15:00Z,VAUL
0.2,2020-07-16T09:30:00Z,VAUL
0.6000000000000001,2020-07-16T09:45:00Z,VAUL
0.4,2020-07-16T10:00:00Z,VAUL
0.2,2020-07-16T10:30:00Z,VAUL
0.2,2020-07-17T03:30:00Z,VAUL
0.2,2020-07-17T03:45:00Z,VAUL
4.6000000000000005,2020-07-17T04:00:00Z,VAUL
0.4,2020-07-17T04:15:00Z,VAUL
0.2,2020-07-17T06:45:00Z,VAUL
4.4,2020-07-17T17:45:00Z,VAUL
0.6000000000000001,2020-07-17T18:00:00Z,VAUL
0.2,2020-07-18T06:30:00Z,VAUL
0.4,2020-07-18T07:00:00Z,VAUL
0.2,2020-07-18T07:15:00Z,VAUL
0.2,2020-07-18T07:30:00Z,VAUL
0.2,2020-07-18T08:00:00Z,VAUL
0.2,2020-07-18T09:00:00Z,VAUL
0.2,2020-07-18T09:45:00Z,VAUL
0.2,2020-07-18T10:00:00Z,VAUL
4.6000000000000005,2020-07-18T15:15:00Z,VAUL
0.2,2020-07-18T21:30:00Z,VAUL
2.6,2020-07-18T21:45:00Z,VAUL
0.4,2020-07-18T22:00:00Z,VAUL
0.6000000000000001,2020-07-18T22:15:00Z,VAUL
0.2,2020-07-18T22:30:00Z,VAUL
0.2,2020-07-18T22:45:00Z,VAUL
0.6000000000000001,2020-07-19T00:30:00Z,VAUL
0.2,2020-07-19T00:45:00Z,VAUL
0.2,2020-07-19T04:15:00Z,VAUL
0.2,2020-07-19T06:15:00Z,VAUL
0.2,2020-07-20T18:00:00Z,VAUL
0.2,2020-07-20T18:45:00Z,VAUL
0.2,2020-07-20T19:00:00Z,VAUL
11.600000000000001,2020-07-20T19:15:00Z,VAUL
4.2,2020-07-20T19:30:00Z,VAUL
0.2,2020-07-20T19:45:00Z,VAUL
0.4,2020-07-20T20:15:00Z,VAUL
0.4,2020-07-20T20:30:00Z,VAUL
2.8000000000000003,2020-07-20T20:45:00Z,VAUL
3.4000000000000004,2020-07-20T21:00:00Z,VAUL
1.8,2020-07-20T21:15:00Z,VAUL
0.2,2020-07-21T00:45:00Z,VAUL
0.2,2020-07-21T03:00:00Z,VAUL
0.2,2020-07-21T03:30:00Z,VAUL
0.2,2020-07-21T03:45:00Z,VAUL
0.2,2020-07-21T04:45:00Z,VAUL
0.2,2020-07-21T05:00:00Z,VAUL
0.6000000000000001,2020-07-21T05:15:00Z,VAUL
0.2,2020-07-21T05:30:00Z,VAUL
0.2,2020-07-21T05:45:00Z,VAUL
0.2,2020-07-21T06:00:00Z,VAUL
0.2,2020-07-21T08:15:00Z,VAUL
0.2,2020-07-21T08:30:00Z,VAUL
0.2,2020-07-21T09:00:00Z,VAUL
0.2,2020-07-21T09:15:00Z,VAUL
0.6000000000000001,2020-07-21T09:30:00Z,VAUL
0.2,2020-07-21T19:15:00Z,VAUL
0.2,2020-07-21T23:30:00Z,VAUL
0.2,2020-07-22T09:30:00Z,VAUL
0.2,2020-07-22T10:30:00Z,VAUL
4,2020-07-22T12:30:00Z,VAUL
1.6,2020-07-22T16:30:00Z,VAUL
1.2000000000000002,2020-07-22T16:45:00Z,VAUL
0.2,2020-07-22T17:00:00Z,VAUL
0.4,2020-07-23T13:45:00Z,VAUL
0.8,2020-07-23T14:00:00Z,VAUL
0.2,2020-07-24T09:15:00Z,VAUL
0.2,2020-07-24T11:45:00Z,VAUL
0.2,2020-07-24T12:00:00Z,VAUL
0.2,2020-07-24T12:30:00Z,VAUL
0.2,2020-07-24T13:15:00Z,VAUL
0.2,2020-07-25T06:15:00Z,VAUL
0.2,2020-07-25T06:45:00Z,VAUL
0.2,2020-07-25T10:15:00Z,VAUL
1.6,2020-07-26T15:15:00Z,VAUL
0.2,2020-07-26T15:30:00Z,VAUL
0.4,2020-07-26T15:45:00Z,VAUL
0.4,2020-07-26T16:00:00Z,VAUL
0.2,2020-07-26T17:45:00Z,VAUL
0.4,2020-07-26T20:45:00Z,VAUL
0.2,2020-07-27T07:30:00Z,VAUL
0.2,2020-07-27T08:15:00Z,VAUL
0.2,2020-07-27T08:45:00Z,VAUL
0.2,2020-07-27T09:15:00Z,VAUL
0.4,2020-07-27T09:30:00Z,VAUL
0.2,2020-07-27T09:45:00Z,VAUL
0.2,2020-07-27T10:00:00Z,VAUL
0.4,2020-07-27T10:15:00Z,VAUL
0.2,2020-07-27T10:30:00Z,VAUL
0.2,2020-07-27T11:45:00Z,VAUL
0.2,2020-07-27T12:45:00Z,VAUL
0.2,2020-07-27T13:00:00Z,VAUL
0.2,2020-07-27T13:15:00Z,VAUL
0.4,2020-07-27T13:30:00Z,VAUL
0.2,2020-07-27T14:00:00Z,VAUL
0.4,2020-07-27T14:15:00Z,VAUL
0.2,2020-07-27T14:30:00Z,VAUL
0.2,2020-07-27T14:45:00Z,VAUL
0.2,2020-07-27T15:30:00Z,VAUL
0.2,2020-07-27T15:45:00Z,VAUL
0.2,2020-07-27T16:30:00Z,VAUL
0.2,2020-07-28T16:45:00Z,VAUL
0.2,2020-07-28T17:15:00Z,VAUL
0.2,2020-07-28T17:45:00Z,VAUL
0.2,2020-07-28T18:00:00Z,VAUL
1.4000000000000001,2020-08-01T19:15:00Z,VAUL
2.2,2020-08-01T19:30:00Z,VAUL
1.2000000000000002,2020-08-01T19:45:00Z,VAUL
2,2020-08-01T20:00:00Z,VAUL
1.2000000000000002,2020-08-01T20:15:00Z,VAUL
0.4,2020-08-01T20:30:00Z,VAUL
0.4,2020-08-01T20:45:00Z,VAUL
0.2,2020-08-01T21:30:00Z,VAUL
0.2,2020-08-01T22:00:00Z,VAUL
0.2,2020-08-01T22:15:00Z,VAUL
0.2,2020-08-01T22:30:00Z,VAUL
0.2,2020-08-01T23:15:00Z,VAUL
0.2,2020-08-02T00:00:00Z,VAUL
0.4,2020-08-02T00:15:00Z,VAUL
0.4,2020-08-02T00:30:00Z,VAUL
0.4,2020-08-02T00:45:00Z,VAUL
0.8,2020-08-02T01:00:00Z,VAUL
0.8,2020-08-02T01:15:00Z,VAUL
0.2,2020-08-02T01:30:00Z,VAUL
0.2,2020-08-02T01:45:00Z,VAUL
0.2,2020-08-02T02:15:00Z,VAUL
0.2,2020-08-02T02:30:00Z,VAUL
0.2,2020-08-02T02:45:00Z,VAUL
0.2,2020-08-02T03:15:00Z,VAUL
0.2,2020-08-02T03:30:00Z,VAUL
0.2,2020-08-02T03:45:00Z,VAUL
0.2,2020-08-02T04:00:00Z,VAUL
0.2,2020-08-02T17:00:00Z,VAUL
0.2,2020-08-03T07:45:00Z,VAUL
0.2,2020-08-03T08:15:00Z,VAUL
0.4,2020-08-03T08:45:00Z,VAUL
0.4,2020-08-03T09:00:00Z,VAUL
0.2,2020-08-03T09:15:00Z,VAUL
0.6000000000000001,2020-08-03T09:30:00Z,VAUL
0.4,2020-08-03T09:45:00Z,VAUL
0.4,2020-08-03T10:00:00Z,VAUL
0.8,2020-08-03T10:15:00Z,VAUL
0.6000000000000001,2020-08-03T10:30:00Z,VAUL
0.6000000000000001,2020-08-03T10:45:00Z,VAUL
0.8,2020-08-03T11:00:00Z,VAUL
0.4,2020-08-03T11:15:00Z,VAUL
0.6000000000000001,2020-08-03T11:30:00Z,VAUL
0.6000000000000001,2020-08-03T11:45:00Z,VAUL
0.4,2020-08-03T12:00:00Z,VAUL
0.2,2020-08-03T12:15:00Z,VAUL
0.6000000000000001,2020-08-03T12:30:00Z,VAUL
0.8,2020-08-03T12:45:00Z,VAUL
0.4,2020-08-03T13:00:00Z,VAUL
0.8,2020-08-03T13:15:00Z,VAUL
0.6000000000000001,2020-08-03T13:30:00Z,VAUL
0.6000000000000001,2020-08-03T13:45:00Z,VAUL
0.2,2020-08-03T14:00:00Z,VAUL
0.2,2020-08-03T14:15:00Z,VAUL
0.2,2020-08-03T14:30:00Z,VAUL
0.2,2020-08-03T15:00:00Z,VAUL
0.2,2020-08-03T16:00:00Z,VAUL
0.2,2020-08-03T16:45:00Z,VAUL
0.2,2020-08-05T16:15:00Z,VAUL
0.8,2020-08-06T15:00:00Z,VAUL
0.2,2020-08-06T15:15:00Z,VAUL
0.2,2020-08-08T05:45:00Z,VAUL
0.2,2020-08-08T06:15:00Z,VAUL
4,2020-08-09T19:00:00Z,VAUL
0.6000000000000001,2020-08-09T19:15:00Z,VAUL
0.2,2020-08-09T19:30:00Z,VAUL
0.8,2020-08-09T20:15:00Z,VAUL
0.4,2020-08-09T21:00:00Z,VAUL
0.2,2020-08-09T21:15:00Z,VAUL
1.2000000000000002,2020-08-09T22:00:00Z,VAUL
2.2,2020-08-09T22:15:00Z,VAUL
0.2,2020-08-09T22:30:00Z,VAUL
0.2,2020-08-09T22:45:00Z,VAUL
0.2,2020-08-09T23:00:00Z,VAUL
0.4,2020-08-09T23:15:00Z,VAUL
0.6000000000000001,2020-08-09T23:30:00Z,VAUL
0.2,2020-08-09T23:45:00Z,VAUL
0.2,2020-08-10T00:45:00Z,VAUL
0.4,2020-08-10T01:30:00Z,VAUL
0.2,2020-08-10T01:45:00Z,VAUL
0.6000000000000001,2020-08-10T02:00:00Z,VAUL
0.4,2020-08-10T02:15:00Z,VAUL
0.4,2020-08-10T02:30:00Z,VAUL
0.2,2020-08-10T02:45:00Z,VAUL
0.4,2020-08-10T03:15:00Z,VAUL
0.6000000000000001,2020-08-10T03:30:00Z,VAUL
0.4,2020-08-10T03:45:00Z,VAUL
0.8,2020-08-10T04:00:00Z,VAUL
0.4,2020-08-10T04:15:00Z,VAUL
0.4,2020-08-10T04:30:00Z,VAUL
0.6000000000000001,2020-08-10T04:45:00Z,VAUL
0.2,2020-08-10T05:00:00Z,VAUL
0.4,2020-08-10T05:15:00Z,VAUL
0.4,2020-08-10T05:30:00Z,VAUL
0.2,2020-08-10T05:45:00Z,VAUL
0.2,2020-08-10T06:00:00Z,VAUL
0.2,2020-08-10T06:15:00Z,VAUL
0.2,2020-08-10T07:00:00Z,VAUL
0.2,2020-08-10T07:45:00Z,VAUL
0.2,2020-08-10T09:00:00Z,VAUL
0.2,2020-08-10T10:00:00Z,VAUL
0.2,2020-08-10T10:30:00Z,VAUL
0.2,2020-08-10T11:00:00Z,VAUL
0.2,2020-08-11T00:45:00Z,VAUL
0.4,2020-08-11T01:00:00Z,VAUL
0.4,2020-08-11T01:15:00Z,VAUL
0.2,2020-08-11T01:30:00Z,VAUL
0.2,2020-08-11T01:45:00Z,VAUL
0.2,2020-08-11T02:00:00Z,VAUL
0.2,2020-08-11T02:15:00Z,VAUL
0.2,2020-08-11T04:30:00Z,VAUL
0.2,2020-08-11T05:15:00Z,VAUL
0.2,2020-08-11T06:00:00Z,VAUL
0.6000000000000001,2020-08-11T06:15:00Z,VAUL
0.4,2020-08-11T06:30:00Z,VAUL
0.2,2020-08-11T07:00:00Z,VAUL
0.2,2020-08-12T07:30:00Z,VAUL
0.4,2020-08-12T08:00:00Z,VAUL
0.2,2020-08-12T08:15:00Z,VAUL
0.2,2020-08-12T08:30:00Z,VAUL
0.2,2020-08-12T08:45:00Z,VAUL
0.8,2020-08-12T09:00:00Z,VAUL
0.6000000000000001,2020-08-12T09:15:00Z,VAUL
0.2,2020-08-12T09:30:00Z,VAUL
0.2,2020-08-12T10:00:00Z,VAUL
0.2,2020-08-12T10:15:00Z,VAUL
0.2,2020-08-12T17:15:00Z,VAUL
1.2000000000000002,2020-08-12T17:30:00Z,VAUL
0.2,2020-08-12T17:45:00Z,VAUL
0.2,2020-08-12T18:15:00Z,VAUL
0.2,2020-08-12T18:45:00Z,VAUL
1.2000000000000002,2020-08-13T16:30:00Z,VAUL
